L,R,V1,V2,V3,V4,V5,V6,LL
-6.996366959687965,-7.0655681645953194,-22.370761356132018,-22.12032975630845,-15.817180503431812,-11.53870877963163,-9.143665603201063,-8.009277077540288,-5.219672551730583
-6.423760912588184,-6.487443664666956,-20.55928542195564,-20.346990160263562,-14.524021313798618,-10.592349668551194,-8.394372777383245,-7.353319197772275,-4.793484978237014
-6.812548297144614,-6.88038065984925,-21.820158057789463,-21.6288101099549,-15.407346542322093,-11.23106592707969,-8.9012294244371,-7.797783991456508,-5.084892668355566
-6.7347366470086545,-6.802269108078619,-21.58145586035149,-21.439326089999952,-15.240498777414341,-11.100387427024465,-8.798198619155482,-7.7080409658207705,-5.0283054217022585
-6.629565456483968,-6.696688070729618,-21.249270833732584,-21.15999219887909,-15.01803792623649,-10.924992949954888,-8.65937474731497,-7.586934498438383,-4.951393277960517
-6.519100202058591,-6.585914777205956,-20.896306691122156,-20.855112989425656,-14.791122292582802,-10.741580081967992,-8.51362717515886,-7.459728372120226,-4.870616690956436
-6.403977594020389,-6.470583722349739,-20.526282954234286,-20.52387277034069,-14.561607716987213,-10.551631668445353,-8.361834361850768,-7.32715767372845,-4.786448844296111
-6.283378865839824,-6.349856888788729,-20.137759522577582,-20.163582211594424,-14.326533607159252,-10.354396462255687,-8.20299532601839,-7.188295806453492,-4.698274743975276
-6.15609449877354,-6.222498110053249,-19.727629777270472,-19.772133179769195,-14.080239644659903,-10.148673329195606,-8.035630335525171,-7.041775383668304,-4.605184652002694
-6.020438005090209,-6.086784817454076,-19.29094810048536,-19.346598995678455,-13.814695385938546,-9.93266260886178,-7.857680272803211,-6.885692263362498,-4.505908724599567
-4.534129370771254,-3.812632437170458,-16.785059392152384,-20.298723162414102,-19.381578834847144,-13.194140866438305,-9.396059836715926,-7.781222660349783,-4.78936372096035
-4.691921873256024,-3.8371093500770947,-16.51124545954859,-20.309797091347054,-20.217951516500698,-14.142197825042153,-10.000951921226772,-8.234166004431083,-4.963085886564154
-4.800284916485104,-3.8075588564709006,-15.968969208149119,-19.994711652743238,-20.747714096678443,-15.012391778198843,-10.558440891119846,-8.63838672170811,-5.083738128682829
-4.859788020775431,-3.720449639645531,-15.14134959029168,-19.357470582674413,-20.990255764353865,-15.810494115435993,-11.085488605579574,-9.006587127818076,-5.15396542244203
-4.863217400375449,-3.568946970279458,-13.992171727382647,-18.362505789667637,-20.910507298489904,-16.492165506426968,-11.570249161046089,-9.32958962628938,-5.1637042556569
-4.793566100516437,-3.3371617075876423,-12.454365708025326,-16.93875706669777,-20.440252607359728,-16.980889395200265,-11.979582685435131,-9.581723259636505,-5.091296120570902
-4.431867207630923,-2.812911370767998,-9.62007186113063,-14.126173605719874,-18.810127648328084,-16.72831598319716,-11.922939523408889,-9.434152193271828,-4.707963267503446
-3.6313785052872674,-1.8839166796531004,-5.152604531458312,-9.29783192586745,-15.393765381516944,-15.307303409734024,-11.121167598654818,-8.664561702532293,-3.875030035157339
-1.5727537778309137,0.26306605668308136,4.388899309181798,0.7362051568526327,-8.13617825449366,-11.086760655593753,-8.286100973980068,-6.19335291392917,-1.9497034130347575
-0.013175883510961831,1.7155586444792736,9.733206632454477,6.680734262628613,-3.229602954625657,-7.6444024363562715,-5.724276691145035,-4.026070946468723,-0.5984959270819912
1.1566573015332533,2.7639565139588704,13.051519975478145,10.553262878611283,0.4022714690741916,-5.00244461583264,-3.763320525202622,-2.37807429326066,0.3858171312732262
2.1854531149205823,3.6623246062480024,15.595110639518172,13.601475055171449,3.553875474897485,-2.626116158816714,-2.011244616062887,-0.914051620721507,1.2349652871764178
3.1431917282674684,4.478392372660533,17.691562552879937,16.16043854453645,6.428625566682744,-0.3492645289793259,-0.3444672833989143,0.4695311474274308,2.01387561057048
4.1804791717936745,5.319046843564656,19.70989786919102,18.690956618208514,9.545834765558794,2.3402241453209727,1.6024170618083977,2.0634762387328087,2.8679749764484006
6.85540782754165,7.188444893571321,24.568410105422753,25.204616756708543,18.569201459051516,11.104708566851206,7.856372704723289,7.0461618935628625,5.311538250069938
9.672769630670302,9.095180281417244,29.377968134877356,31.633469474439934,27.33696134933115,20.2708322919342,14.851864026107867,12.61199102320996,7.875258665740247
11.281234048468571,10.174703693743881,32.0457035854401,35.25039620830092,32.17670181038482,25.350710924321664,18.92253803189873,15.873330324617871,9.335497135609524
11.860930499157998,10.520350934103577,33.11059412654238,36.90952568617142,34.54214351531295,27.628306595807388,20.53760988008693,17.140543178309784,9.939389687984589
12.365856815000607,10.805263055497456,33.984462229564585,38.2836903680894,36.47547647436507,29.666569782819888,22.04166283093305,18.313222763185536,10.469909215999186
12.810281205521656,11.037841946287703,34.686259050830294,39.40460928762701,38.04864204163642,31.493015529333107,23.473695790544287,19.425321143745638,10.940952550231211
13.173872069049644,11.194493908736693,35.10883361578918,40.172629941618176,39.22431980806755,33.05290311736345,24.80909738438967,20.45988137717238,11.334974190214476
12.884473746887952,10.682107976757633,32.59096545828965,37.93930132395282,38.18783745928569,33.14802375423658,25.18960262616515,20.685778485839204,11.120625681835119
11.032066721462485,8.756957430277737,24.711238790133038,30.159624273584548,32.88526304115001,29.657000132147076,22.677333271356776,18.505354862501964,9.563770206986094
9.824330033372817,7.577208950634094,21.303135278302044,26.74715641503785,30.301640874972392,27.566484656910497,21.026698170145128,17.0851176953845,8.70875700987997
7.579729087264074,5.35587575573286,16.165029632624165,21.578847743369423,26.22813836311601,24.212878205471508,18.308072872673858,14.704788209502613,7.253223825290669
5.402673561632515,3.2094390779115445,11.837434546853759,17.183442424994908,22.62556059609535,21.139781774927844,15.789143533026907,12.491686528479631,5.917241083281834
4.31020536103772,2.1875407379116014,9.184919561919754,14.353344943823096,20.146084041785862,19.07178345605394,14.170254148193596,11.11451692350979,5.114614951230493
2.6234067815000994,0.8136351643874535,5.489085927709352,9.929298695229875,15.182331649928777,14.65476844561952,10.924179627411363,8.458689929971545,3.6987855800773275
-1.0368437245248756,-1.8345800628694986,-1.960881965767436,0.24180117040446775,2.96440741844758,3.198503111642125,2.5509755590401637,1.7448840599416588,0.35059198150994403
-3.555924032987871,-3.6972590428153467,-6.998528581801851,-6.000503839402474,-4.021018235601318,-3.853326887489939,-3.2870381818138643,-2.9862677564611757,-1.8588128982685967
-4.345675157604711,-4.355803256472643,-9.358248720030506,-8.885297867135582,-6.711907895960708,-5.887712267993629,-4.8763534790963226,-4.30730424186661,-2.5987339729596184
-4.789393554296735,-4.754179368910524,-11.152597474850038,-11.015655993267096,-8.482863540985424,-7.037044886598869,-5.716728023831933,-5.014762298077163,-3.053915215149722
-4.961918991817719,-4.895935665973099,-12.346478260922803,-12.44476598933759,-9.613028980943316,-7.7178546314010985,-6.194692772835393,-5.408674634001532,-3.3164095665654125
-3.9222717872241546,-3.8239119090280727,-10.711695535843871,-10.98273534733141,-8.496361448821935,-6.658698139314803,-5.2617481093421645,-4.554322967064239,-2.7863160694757414
-2.944890864212447,-2.821105709284875,-9.699768278120226,-10.08532415274331,-7.727386747176836,-5.828352670222606,-4.498288177446045,-3.8428688662612234,-2.3543260563116313
-2.7493755455750435,-2.6193959005974548,-9.931279311412123,-10.35375565147543,-7.859404772699953,-5.812901072946009,-4.445200873753145,-3.7801733495128107,-2.329463372603075
-2.7156798500411408,-2.5865944477017444,-10.052155053996021,-10.483256508262837,-7.90494694222097,-5.812877056287334,-4.4369956963315085,-3.770438155425245,-2.3288449186823783
-2.697515968432898,-2.569530585490998,-10.209000939645287,-10.650282033070734,-7.983187440638207,-5.836742601767183,-4.448075832069432,-3.7777505865846717,-2.3396858826740816
-2.6822590591850757,-2.555429155127542,-10.363245404677885,-10.816455074352714,-8.06854913517333,-5.865190304130325,-4.4629628284539535,-3.7884841991354468,-2.3533510226948797
-2.6638311805327777,-2.538107706445835,-10.493111282331265,-10.960424713730875,-8.14846789653687,-5.888787075932455,-4.4741337312293865,-3.7960320577615114,-2.3657111769536443
-2.6429226220863926,-2.518005930782781,-10.59945689575564,-11.084673351821992,-8.229365471561415,-5.91134227492092,-4.48425885684316,-3.8025894367744995,-2.378430902723238
-2.6427240472093536,-2.517057781780361,-10.77199264221777,-11.288323572494596,-8.395088497434939,-5.9883829015839405,-4.5348769543684195,-3.8435196454037954,-2.4153382154008485
-2.837646293814168,-2.701733063367947,-11.72368233608648,-12.346860773383526,-9.267050740912278,-6.531949113792375,-4.934794762941035,-4.181971042724105,-2.653403175702109
-3.827361224647671,-3.6253498067912213,-15.76863795738346,-16.93293627770297,-13.077357207345663,-9.01030106848292,-6.7729348326504635,-5.740847026845688,-3.7019012661313186
-4.186488503049668,-3.894708035563103,-16.757297133705197,-18.535212689835042,-14.880875711575156,-10.14542613856693,-7.569690270980544,-6.3971822767891435,-4.1081493861091465
-4.346653877994679,-3.96805678989735,-16.849236105348712,-19.1063188005905,-15.97713032224122,-10.840904900111058,-8.028426566311934,-6.761540832254564,-4.308256521014668
-4.431212122012822,-3.9666174565534247,-16.58535881675353,-19.229590188827746,-16.76997168843706,-11.375381003402985,-8.361192203694467,-7.015727013403682,-4.426744772070376
-4.476161491786754,-3.9254434970242347,-16.12360358281574,-19.08463284942363,-17.368768350906084,-11.829860530001271,-8.629944940695253,-7.212705536868089,-4.4992353025201925
-4.499473249516523,-3.8618701069998216,-15.545921957395585,-18.767435618983534,-17.82528469720292,-12.245640554771077,-8.86660670305862,-7.3795795873165675,-4.5435118230490215
-4.510469691584886,-3.7847546743640215,-14.898010783801563,-18.334087579357334,-18.16520287064359,-12.644963830597092,-9.088992070911146,-7.531297539366988,-4.5690123430212175
-4.5114341679048025,-3.6961245998010694,-14.195388793457335,-17.807387102725293,-18.392537315106622,-13.033686792520815,-9.303138145014959,-7.672711394615771,-4.578274301217686
