L,R,V1,V2,V3,V4,V5,V6,LL
-6.996366959687965,-7.0655681645953194,-22.370761356132018,-22.12032975630845,-15.817180503431812,-11.53870877963163,-9.143665603201063,-8.009277077540288,-5.219672551730583
-6.423760912588184,-6.487443664666956,-20.55928542195564,-20.346990160263562,-14.524021313798618,-10.592349668551194,-8.394372777383245,-7.353319197772275,-4.793484978237014
-6.812548297144614,-6.88038065984925,-21.820158057789463,-21.6288101099549,-15.407346542322093,-11.23106592707969,-8.9012294244371,-7.797783991456508,-5.084892668355566
-6.7347366470086545,-6.802269108078619,-21.58145586035149,-21.439326089999952,-15.240498777414341,-11.100387427024465,-8.798198619155482,-7.7080409658207705,-5.0283054217022585
-6.629565456483968,-6.696688070729618,-21.249270833732584,-21.15999219887909,-15.01803792623649,-10.924992949954888,-8.65937474731497,-7.586934498438383,-4.951393277960517
-6.519100202058591,-6.585914777205956,-20.896306691122156,-20.855112989425656,-14.791122292582802,-10.741580081967992,-8.51362717515886,-7.459728372120226,-4.870616690956436
-6.403977594020389,-6.470583722349739,-20.526282954234286,-20.52387277034069,-14.561607716987213,-10.551631668445353,-8.361834361850768,-7.32715767372845,-4.786448844296111
-6.283378865839824,-6.349856888788729,-20.137759522577582,-20.163582211594424,-14.326533607159252,-10.354396462255687,-8.20299532601839,-7.188295806453492,-4.698274743975276
-6.15609449877354,-6.222498110053249,-19.727629777270472,-19.772133179769195,-14.080239644659903,-10.148673329195606,-8.035630335525171,-7.041775383668304,-4.605184652002694
-6.020438005090209,-6.086784817454076,-19.29094810048536,-19.346598995678455,-13.814695385938546,-9.93266260886178,-7.857680272803211,-6.885692263362498,-4.505908724599567
-4.391109645149016,-3.6682214479197244,-16.180588509817994,-19.688560027441778,-18.979029789087804,-12.919335134925706,-9.18454365281273,-7.598109726574313,-4.6693283231273846
-4.55355893436818,-3.6973872563170516,-15.9127157546369,-19.705825593056165,-19.81961217397897,-13.871680008651662,-9.793431072609554,-8.05472327286341,-4.845021117703468
-4.667263103216927,-3.673268444248186,-15.379365580405358,-19.399863486884396,-20.354693277160482,-14.746657933384705,-10.355348829941123,-8.463045004483888,-4.967870330797818
-4.732574474682689,-3.592202649528351,-14.56452808512421,-18.77527562240548,-20.602875575777553,-15.54919755607648,-10.886561704621558,-8.835226363364564,-5.040221949604644
-4.742403422423512,-3.447512066842945,-13.435385217737693,-17.79974649586559,-20.529918733522425,-16.23532998829812,-11.375274256723687,-9.162135843343776,-5.052049224762345
-4.672525985397145,-3.216312370141644,-11.898168043402725,-16.37353803266516,-20.043125044651617,-16.712221461990616,-11.775721898082239,-9.407261305275899,-4.974248475495954
-4.131037280816945,-2.520252916093369,-8.326724567841762,-12.761336424524425,-17.76203273801536,-16.026077937241375,-11.392400381087842,-8.981470965984661,-4.401976689397147
-3.539820936740625,-1.8083172159992376,-4.86069391680202,-8.892698486950236,-15.00783911757654,-15.050818806411373,-10.931867491653982,-8.507035487009514,-3.7778661069757473
-1.632082643472284,0.18848419643709916,4.069010411169402,0.5099467817377716,-8.177838575869968,-11.13152622210614,-8.330302884541371,-6.236271685850957,-1.9835963086811137
-0.0992239830572955,1.6150514386584838,9.396991101096413,6.4157409168591135,-3.30923283720247,-7.719560536540026,-5.796776891483144,-4.0947864318164715,-0.6481218426229192
1.0532987642096614,2.6472450790895437,12.714898236053564,10.267289289821274,0.2891579587878124,-5.098596347693327,-3.854046502504802,-2.463405448424596,0.32528133487815314
2.068817620881347,3.533805105095185,15.26225760816644,13.302153238111313,3.409445025466169,-2.740395441528746,-2.116714000255746,-1.0125677889190459,1.1659684987157046
3.011295909862695,4.337942379102547,17.356346958514962,15.84178975186082,6.238696342250977,-0.4970275470606617,-0.47445203477478026,0.35060164606193966,1.933615628461911
3.948914402885089,5.113025408471363,19.213113062247828,18.134759723940952,8.994208955036616,1.845302546336616,1.2278257299834694,1.7507068305009212,2.6936677573244645
5.616890397127642,6.336375457227568,22.24012245770389,22.10383958155831,14.35452198811388,6.952490973770067,4.878049953964595,4.678595522952109,4.1609404231357034
8.927328631373612,8.572134651648508,28.04212050532664,29.92267159099545,25.22649609611685,18.04917575125103,13.030129003926536,11.14846772686623,7.214024613478915
11.132031426300657,10.056165398497178,31.625070202357506,34.67688201925843,31.554250120228474,24.932710931023045,18.615093174824217,15.618591039736971,9.188186680440554
11.780391116027113,10.450921900739013,32.80733467242422,36.49306537215013,34.13520840029251,27.406952188057033,20.38747663334835,17.013475930285026,9.851906850324292
12.306295978044934,10.750862419738208,33.7258138041853,37.936557180126734,36.166321095746355,29.51012002338555,21.93636736168612,18.22272144608433,10.402705220838904
12.767200295220855,10.995876216342632,34.46596522422822,39.117241454918165,37.81569195962417,31.38429936658282,23.401225187545396,19.361920241657536,10.889539985320251
13.14705359822374,11.165826782140176,34.9327857043558,39.948759720751234,39.061031790253914,32.98746476112269,24.76617636247327,20.421160208352173,11.298778439499982
12.925089268375379,10.71907623224445,32.6842906180132,38.002626123351014,38.24234715946327,33.227829876476065,25.252347130389982,20.737087102886733,11.144383317811155
11.163108338930398,8.880848693585373,25.07592206368151,30.512410609553374,33.159709994368896,29.903659724955656,22.871160963750885,18.66896498244337,9.655116676927904
9.978544206585891,7.7219564167120005,21.625530220679988,27.07277912254459,30.58705381077754,27.833234402390374,21.2396272447311,17.266091500016827,8.808311667957863
7.808889036874543,5.574162812349576,16.47563492351526,21.90598369801531,26.557406602681983,24.537488584283413,18.575954233386433,14.937055813858334,7.382826806228228
5.483391263090762,3.2738984829328417,11.790549998914182,17.17178256178669,22.723548959230186,21.283532101176764,15.90556374712774,12.587082308558267,5.957544418462895
4.396369433474929,2.2453476808033663,9.189311031350426,14.425088478852162,20.36976214956488,19.320658791875555,14.35618719332883,11.2624013835578,5.1808391208367155
3.23271024043775,1.2185061865850586,6.477593367992832,11.386870410876192,17.388768517566756,16.74894559388583,12.40122489712793,9.63129456356817,4.270823549057154
-0.10198656692777405,-1.2166594655546727,-0.35799023756091175,2.541561465190593,6.1622947939053985,6.350354947215747,4.9099807623060885,3.6182093829569175,1.2330278662955065
-2.9468204991759057,-3.2928194230155294,-6.094228412630054,-4.713396753722454,-2.3448954369124833,-2.041687367855013,-1.7086496838764635,-1.7125923119661994,-1.3120910550126401
-4.349900304863653,-4.380297694044418,-9.405276631288281,-8.775142501821907,-6.482052257106593,-5.77677315442841,-4.812477231849237,-4.259456904475884,-2.5681788228436027
-4.829122571297828,-4.80388880430172,-11.294289915130372,-11.056203541704978,-8.430236338376995,-7.041427021291837,-5.733036292770939,-5.032272669574046,-3.060851582795748
-5.029511860244277,-4.967487849168369,-12.555377986282359,-12.593992161367936,-9.677311212369311,-7.797236387177407,-6.264286954414152,-5.470377705523025,-3.349936587477457
-4.044765672150551,-3.9470483829766083,-10.959928359296047,-11.20311829451544,-8.649136199540093,-6.80655855585756,-5.3871372218328295,-4.665625375763196,-2.8507881519811495
-3.1243124083916154,-3.0003041921708093,-9.865980403108175,-10.242697968406395,-7.861956944481383,-5.985121661326471,-4.640567566592168,-3.9732295183122193,-2.428080287244629
-2.752391952061877,-2.615621228293571,-10.08843815888955,-10.532633205908235,-7.996209465821742,-5.900875016410065,-4.504031763623356,-3.8253833765416525,-2.3564632703024215
-2.717988553117037,-2.5820819569014857,-10.203438500918736,-10.658450163466714,-8.043183511724559,-5.90092874259022,-4.495831419194344,-3.815642823950551,-2.3563718516453833
-2.6997361055009796,-2.5649825919479263,-10.349350440862377,-10.816070712130534,-8.119898463716579,-5.923560045838006,-4.506208790364284,-3.822464195537674,-2.3673478739778315
-2.6847869935546624,-2.551224003691947,-10.4919972244571,-10.972054409266603,-8.204795481381082,-5.951626269656699,-4.521071842442239,-3.8332965736489215,-2.3815707482946906
-2.6688038413891917,-2.536277125454172,-10.616063065047557,-11.112144706132344,-8.29118464435031,-5.979648106746463,-4.535876251855857,-3.844077109217762,-2.3966155602874757
-2.662129050902286,-2.5297491339237594,-10.76157499572116,-11.281773853279196,-8.419958670881298,-6.034295828585333,-4.570406419838777,-3.8715757571263567,-2.4239194340273666
-2.751093063536721,-2.613829746916471,-11.278733079913808,-11.863507460241602,-8.900461078917068,-6.320505273697198,-4.77813699220131,-4.0465238346565195,-2.5514128579207025
-3.566636398140977,-3.388385084829211,-14.745411794132414,-15.683533898888895,-11.997212305127308,-8.337034770551902,-6.280774325293357,-5.324094447472839,-3.420146083261405
-4.124742438865885,-3.859121672824742,-16.653220531046564,-18.237935966731012,-14.452831042372098,-9.902817151411218,-7.409498322596854,-6.267301388916323,-4.0280741005270775
-4.3217654052071754,-3.9722099076861026,-16.939018888950102,-19.027687456477622,-15.665440429684269,-10.663752756672832,-7.922412778737665,-6.680139167598919,-4.265750683411353
-4.4208326461566125,-3.988783921080887,-16.774814600006763,-19.269566301093782,-16.50871234252781,-11.212887642366367,-8.270975660739687,-6.950117928364341,-4.4002453459739135
-4.468408694945387,-3.9541260239841463,-16.361741099339593,-19.189650278209367,-17.128003841738064,-11.654723116429814,-8.534882507134189,-7.145458820420406,-4.477745868970069
-4.487528012412154,-3.8905376977901915,-15.801433499772315,-18.904403499514462,-17.59088131539788,-12.041190596962506,-8.753952575564934,-7.30009355750059,-4.520674250060417
-4.491154409516504,-3.810441735608357,-15.154421030873642,-18.484678767211623,-17.933853513772377,-12.402409476620127,-8.951627919541815,-7.43382728749379,-4.541740266921986
-4.485200928319326,-3.71938084024672,-14.451848153709237,-17.969538014644602,-18.17218040826552,-12.752842525141862,-9.139894613287899,-7.556608019749263,-4.546936872407255
-4.463431917934393,-3.611183443920743,-13.673251480168705,-17.34211747312673,-18.280765444545427,-13.078350174130463,-9.30984367750618,-7.660531099900645,-4.530156717585549
